variable,description,sector,confidence,rationale,industry,subsector,subtype,subsubtype,subsubsubtype
Final Energy|Transportation|Freight|Other,"Final Energy|Transportation|Freight|Other represents other within the broader context of final energy > transportation > freight > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, freight, mobility, other, transport, transportation, vehicle demand",Energy,0.6,This category is too broad. More specificity is required for any meaningful classification within the transportation sector.,,Other,,,
Final Energy|Transportation|Gases,"Final Energy|Transportation|Gases represents gases within the broader context of final energy > transportation > gases in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, gases, mobility, transport, transportation, vehicle demand",Energy,0.6,The broader categories used in this dataset lack specificity for detailed classification within the transportation sector.,,Gases,,,
Final Energy|Transportation|Hydrogen,"Final Energy|Transportation|Hydrogen represents hydrogen within the broader context of final energy > transportation > hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, hydrogen, mobility, transport, transportation, vehicle demand",Energy,0.95,Maps to the broader context of final energy and transportation. Hydrogen is a form of energy in this context.,,Transportation Energy,,,
Final Energy|Transportation|Liquids,"Final Energy|Transportation|Liquids represents liquids within the broader context of final energy > transportation > liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, liquids, mobility, transport, transportation, vehicle demand",Energy,0.95,Maps to the broader context of final energy and transportation. Liquids are a form of energy in this context.,,Transportation Energy,,,
Final Energy|Transportation|Liquids|Bioenergy,"Final Energy|Transportation|Liquids|Bioenergy represents bioenergy within the broader context of final energy > transportation > liquids > bioenergy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bioenergy, energy, energy demand, energy sector, energy use, final, final energy, liquids, mobility, transport, transportation, vehicle demand",Energy,0.95,Maps to the broader context of final energy and transportation. Bioenergy is a type of energy source in this context. It is categorized under liquids.,,Transportation Bioenergy,,,
Final Energy|Transportation|Other,"Final Energy|Transportation|Other represents other within the broader context of final energy > transportation > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, mobility, other, transport, transportation, vehicle demand",Energy,0.85,"Other is a broad term and can map to various contexts. However, in the context of final energy and transportation, it can be considered under energy and transportation.",,Transportation Energy,,,
Final Energy|Transportation|Passenger,"Final Energy|Transportation|Passenger represents passenger within the broader context of final energy > transportation > passenger in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, mobility, passenger, transport, transportation, vehicle demand",Energy,0.95,Maps to the broader context of final energy and transportation. Passenger transportation is a specific use case in this context.,,Transportation Energy,,,
Final Energy|Transportation|Passenger|Electricity,"Final Energy|Transportation|Passenger|Electricity represents electricity within the broader context of final energy > transportation > passenger > electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy use, final, final energy, mobility, passenger, transport, transportation, vehicle demand",Energy,0.95,"In the broader context of final energy and transportation, electricity generation is a specific energy source used for passenger transportation. ",,Electricity Generation,,,
Final Energy|Transportation|Passenger|Liquids,"Final Energy|Transportation|Passenger|Liquids represents liquids within the broader context of final energy > transportation > passenger > liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, liquids, mobility, passenger, transport, transportation, vehicle demand",Energy,0.95,Maps to the broader context of final energy and transportation. Liquids are a form of energy in this context.,,Transportation Energy,,,
Final Energy|Transportation|Passenger|Liquids|Bioenergy,"Final Energy|Transportation|Passenger|Liquids|Bioenergy represents bioenergy within the broader context of final energy > transportation > passenger > liquids > bioenergy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bioenergy, energy, energy demand, energy sector, energy use, final, final energy, liquids, mobility, passenger, transport, transportation, vehicle demand",Energy,0.95,Maps to the broader context of final energy and transportation. Bioenergy is a type of energy source in this context. It is categorized under liquids.,,Transportation Bioenergy,,,
Final Energy|Transportation|Passenger|Liquids|Oil,"Final Energy|Transportation|Passenger|Liquids|Oil represents oil within the broader context of final energy > transportation > passenger > liquids > oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, liquids, mobility, oil, passenger, transport, transportation, vehicle demand",Energy,0.95,"In the broader context of final energy and transportation, oil is a specific type of energy source used for passenger transportation.",,Oil Energy,,,
Final Energy|Transportation|Passenger|Other,"Final Energy|Transportation|Passenger|Other represents other within the broader context of final energy > transportation > passenger > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, mobility, other, passenger, transport, transportation, vehicle demand",Energy,0.85,"Other is a broad term and can map to various contexts. However, in the context of final energy and transportation, it can be considered under energy and transportation.",,Transportation Energy,,,
Food Demand,"Food Demand represents food demand within the broader context of food demand in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demand, food, food demand",AFOLU,0.95,Food demand is directly related to agricultural activities and consumer behavior.,,Agriculture Demand,,,
Food Demand|Crops,"Food Demand|Crops represents crops within the broader context of food demand > crops in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: crops, demand, food, food demand",AFOLU,0.95,Crop demand is a specific type of agricultural demand.,,Crop Demand,,,
Food Demand|Livestock,"Food Demand|Livestock represents livestock within the broader context of food demand > livestock in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demand, food, food demand, livestock",AFOLU,0.95,Livestock demand is a specific type of agricultural demand.,,Livestock Demand,,,
Food Energy Supply,"Food Energy Supply represents food energy supply within the broader context of food energy supply in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, food, food energy supply, supply",AFOLU,0.95,Food energy supply is directly related to agricultural activities and energy production.,,Agriculture Supply,,,
Food Energy Supply|Livestock,"Food Energy Supply|Livestock represents livestock within the broader context of food energy supply > livestock in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, food, food energy supply, livestock, supply",AFOLU,0.95,Livestock supply is a specific type of agricultural supply.,,Livestock Supply,,,
Forestry Demand|Roundwood,"Forestry Demand|Roundwood represents roundwood within the broader context of forestry demand > roundwood in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demand, forestry, forestry demand, roundwood",AFOLU,0.95,Forestry demand is directly related to wood products and forest management.,,Forestry Demand,,,
Forestry Demand|Roundwood|Industrial Roundwood,"Forestry Demand|Roundwood|Industrial Roundwood represents industrial roundwood within the broader context of forestry demand > roundwood > industrial roundwood in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demand, forestry, forestry demand, industrial, industrial roundwood, roundwood",AFOLU,0.95,Industrial roundwood demand is a specific type of forestry demand.,,Industrial Roundwood Demand,,,
Forestry Demand|Roundwood|Wood Fuel,"Forestry Demand|Roundwood|Wood Fuel represents wood fuel within the broader context of forestry demand > roundwood > wood fuel in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demand, forestry, forestry demand, fuel, roundwood, wood, wood fuel",AFOLU,0.95,Wood fuel demand is a specific type of forestry demand.,,Wood Fuel Demand,,,
Forestry Production|Roundwood,"Forestry Production|Roundwood represents roundwood within the broader context of forestry production > roundwood in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: forestry, forestry production, production, roundwood",AFOLU,0.95,Forestry production is directly related to wood products and forest management.,,Forestry Production,,,
Forestry Production|Roundwood|Industrial Roundwood,"Forestry Production|Roundwood|Industrial Roundwood represents industrial roundwood within the broader context of forestry production > roundwood > industrial roundwood in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: forestry, forestry production, industrial, industrial roundwood, production, roundwood",AFOLU,0.95,Industrial roundwood production is a specific type of forestry production.,,Industrial Roundwood Production,,,
Forestry Production|Roundwood|Wood Fuel,"Forestry Production|Roundwood|Wood Fuel represents wood fuel within the broader context of forestry production > roundwood > wood fuel in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: forestry, forestry production, fuel, production, roundwood, wood, wood fuel",AFOLU,0.95,Wood fuel production is a specific type of forestry production.,,Wood Fuel Production,,,
GDP|MER,"GDP|MER represents mer within the broader context of gdp > mer in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: gdp, mer",Cross-sector,0.95,Gross Domestic Product is a macroeconomic indicator that encompasses various sectors.,,Economic Activity,,,
GDP|PPP,"GDP|PPP represents ppp within the broader context of gdp > ppp in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: gdp, ppp",Cross-sector,0.95,Purchasing Power Parity is a measure of economic activity that accounts for differences in living costs between countries.,,Economic Activity,,,
Investment|Energy Supply,"Investment|Energy Supply represents energy supply within the broader context of investment > energy supply in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy supply, energy use, investment, supply",Energy,0.95,Energy supply investments are directly related to energy production and distribution.,,Energy Supply,,,
Investment|Energy Supply|CO2 Transport and Storage,"Investment|Energy Supply|CO2 Transport and Storage represents co2 transport and storage within the broader context of investment > energy supply > co2 transport and storage in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, co2, co2 transport and storage, energy, energy demand, energy sector, energy supply, energy use, investment, mobility, storage, supply, transport, vehicle demand",Energy,0.95,CO2 transport and storage are specific activities related to carbon capture and storage.,,CO2 Removal,,,
Investment|Energy Supply|Electricity,"Investment|Energy Supply|Electricity represents electricity within the broader context of investment > energy supply > electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, investment, supply",Energy,0.95,"Electricity investments are directly related to electricity generation, transmission, and distribution.",Power Generation,Electricity Generation,,,
Investment|Energy Supply|Electricity|Biomass,"Investment|Energy Supply|Electricity|Biomass represents biomass within the broader context of investment > energy supply > electricity > biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, supply",Energy,0.95,Biomass investments are a specific type of electricity generation.,Power Generation,Biomass Generation,,,
Investment|Energy Supply|Electricity|Biomass|w/ CCS,"Investment|Energy Supply|Electricity|Biomass|w/ CCS represents w/ ccs within the broader context of investment > energy supply > electricity > biomass > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, supply, w, w/ ccs",Energy,0.95,Biomass with CCS investments are a specific type of electricity generation with carbon capture and storage.,Power Generation,Biomass Generation with CCS,,,
Investment|Energy Supply|Electricity|Biomass|w/o CCS,"Investment|Energy Supply|Electricity|Biomass|w/o CCS represents w/o ccs within the broader context of investment > energy supply > electricity > biomass > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, o, supply, w, w/o ccs",Energy,0.95,Biomass without CCS investments are a specific type of electricity generation.,Power Generation,Biomass Generation without CCS,,,
Investment|Energy Supply|Electricity|Coal,"Investment|Energy Supply|Electricity|Coal represents coal within the broader context of investment > energy supply > electricity > coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, supply",Energy,0.95,Coal investments are a specific type of electricity generation.,Power Generation,Coal Generation,,,
Investment|Energy Supply|Electricity|Coal|w/ CCS,"Investment|Energy Supply|Electricity|Coal|w/ CCS represents w/ ccs within the broader context of investment > energy supply > electricity > coal > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, supply, w, w/ ccs",Energy,0.95,Coal with CCS investments are a specific type of electricity generation with carbon capture and storage.,Power Generation,Coal Generation with CCS,,,
Investment|Energy Supply|Electricity|Coal|w/o CCS,"Investment|Energy Supply|Electricity|Coal|w/o CCS represents w/o ccs within the broader context of investment > energy supply > electricity > coal > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, o, supply, w, w/o ccs",Energy,0.95,Coal without CCS investments are a specific type of electricity generation.,Power Generation,Coal Generation without CCS,,,
Investment|Energy Supply|Electricity|Electricity Storage,"Investment|Energy Supply|Electricity|Electricity Storage represents electricity storage within the broader context of investment > energy supply > electricity > electricity storage in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, electricity storage, energy, energy demand, energy sector, energy supply, energy use, investment, storage, supply",Energy,0.95,"Electricity storage investments are directly related to electricity generation, transmission, and distribution.",,Electricity Storage,,,
Investment|Energy Supply|Electricity|Fossil,"Investment|Energy Supply|Electricity|Fossil represents fossil within the broader context of investment > energy supply > electricity > fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, fossil, investment, supply",Energy,0.95,Fossil investments are a specific type of electricity generation.,Power Generation,Fossil Generation,,,
Investment|Energy Supply|Electricity|Gas,"Investment|Energy Supply|Electricity|Gas represents gas within the broader context of investment > energy supply > electricity > gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, gas, investment, supply",Energy,0.95,Gas investments are a specific type of electricity generation.,Power Generation,Gas Generation,,,
Investment|Energy Supply|Electricity|Gas|w/ CCS,"Investment|Energy Supply|Electricity|Gas|w/ CCS represents w/ ccs within the broader context of investment > energy supply > electricity > gas > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, electricity, energy, energy demand, energy sector, energy supply, energy use, gas, investment, supply, w, w/ ccs",Energy,0.95,Gas with CCS investments are a specific type of electricity generation with carbon capture and storage.,Power Generation,Gas Generation with CCS,,,
Investment|Energy Supply|Electricity|Gas|w/o CCS,"Investment|Energy Supply|Electricity|Gas|w/o CCS represents w/o ccs within the broader context of investment > energy supply > electricity > gas > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, electricity, energy, energy demand, energy sector, energy supply, energy use, gas, investment, o, supply, w, w/o ccs",Energy,0.95,Gas without CCS investments are a specific type of electricity generation.,Power Generation,Gas Generation without CCS,,,
Investment|Energy Supply|Electricity|Hydro,"Investment|Energy Supply|Electricity|Hydro represents hydro within the broader context of investment > energy supply > electricity > hydro in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, hydro, investment, supply",Energy,0.95,Hydro investments are a specific type of electricity generation.,Power Generation,Hydro Generation,,,
Investment|Energy Supply|Electricity|Non-Biomass Renewables,"Investment|Energy Supply|Electricity|Non-Biomass Renewables represents non-biomass renewables within the broader context of investment > energy supply > electricity > non-biomass renewables in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, non, non-biomass renewables, renewables, supply",Energy,0.95,Non-biomass renewable investments are a specific type of electricity generation.,Power Generation,Non-Biomass Renewable Generation,,,
Investment|Energy Supply|Electricity|Non-fossil,"Investment|Energy Supply|Electricity|Non-fossil represents non-fossil within the broader context of investment > energy supply > electricity > non-fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, fossil, investment, non, non-fossil, supply",Energy,0.95,Non-fossil investments are a specific type of electricity generation.,Power Generation,Non-Fossil Generation,,,
Investment|Energy Supply|Electricity|Nuclear,"Investment|Energy Supply|Electricity|Nuclear represents nuclear within the broader context of investment > energy supply > electricity > nuclear in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, investment, nuclear, supply",Error,0.0,Batch failed after retries.,,,,,
Investment|Energy Supply|Electricity|Oil,"Investment|Energy Supply|Electricity|Oil represents oil within the broader context of investment > energy supply > electricity > oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, investment, oil, supply",Error,0.0,Batch failed after retries.,,,,,
Investment|Energy Supply|Electricity|Oil|w/ CCS,"Investment|Energy Supply|Electricity|Oil|w/ CCS represents w/ ccs within the broader context of investment > energy supply > electricity > oil > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, oil, supply, w, w/ ccs",Error,0.0,Batch failed after retries.,,,,,
Investment|Energy Supply|Electricity|Oil|w/o CCS,"Investment|Energy Supply|Electricity|Oil|w/o CCS represents w/o ccs within the broader context of investment > energy supply > electricity > oil > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, o, oil, supply, w, w/o ccs",Error,0.0,Batch failed after retries.,,,,,
Investment|Energy Supply|Electricity|Solar,"Investment|Energy Supply|Electricity|Solar represents solar within the broader context of investment > energy supply > electricity > solar in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, investment, solar, supply",Error,0.0,Batch failed after retries.,,,,,
Investment|Energy Supply|Electricity|Transmission and Distribution,"Investment|Energy Supply|Electricity|Transmission and Distribution represents transmission and distribution within the broader context of investment > energy supply > electricity > transmission and distribution in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, distribution, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, supply, transmission, transmission and distribution",Error,0.0,Batch failed after retries.,,,,,
Investment|Energy Supply|Electricity|Wind,"Investment|Energy Supply|Electricity|Wind represents wind within the broader context of investment > energy supply > electricity > wind in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, investment, supply, wind",Error,0.0,Batch failed after retries.,,,,,
Investment|Energy Supply|Extraction|Bioenergy,"Investment|Energy Supply|Extraction|Bioenergy represents bioenergy within the broader context of investment > energy supply > extraction > bioenergy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bioenergy, energy, energy demand, energy sector, energy supply, energy use, extraction, investment, supply",Error,0.0,Batch failed after retries.,,,,,
Investment|Energy Supply|Extraction|Coal,"Investment|Energy Supply|Extraction|Coal represents coal within the broader context of investment > energy supply > extraction > coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, energy, energy demand, energy sector, energy supply, energy use, extraction, investment, supply",Error,0.0,Batch failed after retries.,,,,,
Investment|Energy Supply|Extraction|Fossil,"Investment|Energy Supply|Extraction|Fossil represents fossil within the broader context of investment > energy supply > extraction > fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy supply, energy use, extraction, fossil, investment, supply",Error,0.0,Batch failed after retries.,,,,,
Investment|Energy Supply|Extraction|Gas,"Investment|Energy Supply|Extraction|Gas represents gas within the broader context of investment > energy supply > extraction > gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy supply, energy use, extraction, gas, investment, supply",Error,0.0,Batch failed after retries.,,,,,
Investment|Energy Supply|Extraction|Oil,"Investment|Energy Supply|Extraction|Oil represents oil within the broader context of investment > energy supply > extraction > oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy supply, energy use, extraction, investment, oil, supply",Error,0.0,Batch failed after retries.,,,,,
Investment|Energy Supply|Liquids,"Investment|Energy Supply|Liquids represents liquids within the broader context of investment > energy supply > liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy supply, energy use, investment, liquids, supply",Error,0.0,Batch failed after retries.,,,,,
Investment|Energy Supply|Liquids|Biomass,"Investment|Energy Supply|Liquids|Biomass represents biomass within the broader context of investment > energy supply > liquids > biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy supply, energy use, investment, liquids, supply",Error,0.0,Batch failed after retries.,,,,,
Investment|Energy Supply|Liquids|Oil,"Investment|Energy Supply|Liquids|Oil represents oil within the broader context of investment > energy supply > liquids > oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy supply, energy use, investment, liquids, oil, supply",Error,0.0,Batch failed after retries.,,,,,
Land Cover,"Land Cover represents land cover within the broader context of land cover in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, land, land cover",Error,0.0,Batch failed after retries.,,,,,
Land Cover|Built-up Area,"Land Cover|Built-up Area represents built-up area within the broader context of land cover > built-up area in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: area, built, built-up area, cover, land, land cover, up",Error,0.0,Batch failed after retries.,,,,,
Land Cover|Cropland,"Land Cover|Cropland represents cropland within the broader context of land cover > cropland in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, cropland, land, land cover",Error,0.0,Batch failed after retries.,,,,,
Land Cover|Cropland|Energy Crops,"Land Cover|Cropland|Energy Crops represents energy crops within the broader context of land cover > cropland > energy crops in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, cropland, crops, energy, energy crops, energy demand, energy sector, energy use, land, land cover",Error,0.0,Batch failed after retries.,,,,,
Land Cover|Cropland|Irrigated,"Land Cover|Cropland|Irrigated represents irrigated within the broader context of land cover > cropland > irrigated in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, cropland, irrigated, land, land cover",Error,0.0,Batch failed after retries.,,,,,
Land Cover|Cropland|Rainfed,"Land Cover|Cropland|Rainfed represents rainfed within the broader context of land cover > cropland > rainfed in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, cropland, land, land cover, rainfed",Error,0.0,Batch failed after retries.,,,,,
Land Cover|Forest,"Land Cover|Forest represents forest within the broader context of land cover > forest in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, forest, land, land cover",Error,0.0,Batch failed after retries.,,,,,
Land Cover|Forest|Forestry|Harvested Area,"Land Cover|Forest|Forestry|Harvested Area represents harvested area within the broader context of land cover > forest > forestry > harvested area in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: area, cover, forest, forestry, harvested, harvested area, land, land cover",Error,0.0,Batch failed after retries.,,,,,
Land Cover|Forest|Natural Forest,"Land Cover|Forest|Natural Forest represents natural forest within the broader context of land cover > forest > natural forest in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, forest, land, land cover, natural, natural forest",Error,0.0,Batch failed after retries.,,,,,
Land Cover|Other Arable Land,"Land Cover|Other Arable Land represents other arable land within the broader context of land cover > other arable land in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: arable, cover, land, land cover, other, other arable land",Error,0.0,Batch failed after retries.,,,,,
Land Cover|Pasture,"Land Cover|Pasture represents pasture within the broader context of land cover > pasture in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cover, land, land cover, pasture",Error,0.0,Batch failed after retries.,,,,,
OM Cost|Fixed|Electricity|Biomass|w/o CCS,"OM Cost|Fixed|Electricity|Biomass|w/o CCS represents w/o ccs within the broader context of om cost > fixed > electricity > biomass > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, cost, electricity, fixed, o, om, om cost, w, w/o ccs",Error,0.0,Batch failed after retries.,,,,,
OM Cost|Fixed|Electricity|Hydro,"OM Cost|Fixed|Electricity|Hydro represents hydro within the broader context of om cost > fixed > electricity > hydro in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cost, electricity, fixed, hydro, om, om cost",Error,0.0,Batch failed after retries.,,,,,
OM Cost|Fixed|Electricity|Nuclear,"OM Cost|Fixed|Electricity|Nuclear represents nuclear within the broader context of om cost > fixed > electricity > nuclear in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cost, electricity, fixed, nuclear, om, om cost",Error,0.0,Batch failed after retries.,,,,,
OM Cost|Fixed|Electricity|Wind,"OM Cost|Fixed|Electricity|Wind represents wind within the broader context of om cost > fixed > electricity > wind in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cost, electricity, fixed, om, om cost, wind",Error,0.0,Batch failed after retries.,,,,,
OM Cost|Fixed|Electricity|Wind|Onshore,"OM Cost|Fixed|Electricity|Wind|Onshore represents onshore within the broader context of om cost > fixed > electricity > wind > onshore in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: cost, electricity, fixed, om, om cost, onshore, wind",Error,0.0,Batch failed after retries.,,,,,
