variable,description
Final Energy|Industry|Electricity,"Final Energy|Industry|Electricity represents electricity within the broader context of final energy → industry → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy use, final, final energy, industry"
Final Energy|Industry|Gases,"Final Energy|Industry|Gases represents gases within the broader context of final energy → industry → gases in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, gases, industry"
Final Energy|Industry|Hydrogen,"Final Energy|Industry|Hydrogen represents hydrogen within the broader context of final energy → industry → hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, hydrogen, industry"
Final Energy|Industry|Liquids,"Final Energy|Industry|Liquids represents liquids within the broader context of final energy → industry → liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, industry, liquids"
Final Energy|Industry|Solids,"Final Energy|Industry|Solids represents solids within the broader context of final energy → industry → solids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, industry, solids"
Final Energy|Industry|Solids|Biomass,"Final Energy|Industry|Solids|Biomass represents biomass within the broader context of final energy → industry → solids → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, final, final energy, industry, solids"
Final Energy|Industry|Solids|Coal,"Final Energy|Industry|Solids|Coal represents coal within the broader context of final energy → industry → solids → coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, energy, energy demand, energy sector, energy use, final, final energy, industry, solids"
Final Energy|Liquids,"Final Energy|Liquids represents liquids within the broader context of final energy → liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, liquids"
Final Energy|Non-Energy Use,"Final Energy|Non-Energy Use represents non-energy use within the broader context of final energy → non-energy use in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, non, non-energy use, use"
Final Energy|Non-Energy Use|Biomass,"Final Energy|Non-Energy Use|Biomass represents biomass within the broader context of final energy → non-energy use → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, final, final energy, non, non-energy use, use"
Final Energy|Non-Energy Use|Coal,"Final Energy|Non-Energy Use|Coal represents coal within the broader context of final energy → non-energy use → coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, energy, energy demand, energy sector, energy use, final, final energy, non, non-energy use, use"
Final Energy|Non-Energy Use|Oil,"Final Energy|Non-Energy Use|Oil represents oil within the broader context of final energy → non-energy use → oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, non, non-energy use, oil, use"
Final Energy|Other Sector,"Final Energy|Other Sector represents other sector within the broader context of final energy → other sector in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, other, other sector, sector"
Final Energy|Other Sector|Electricity,"Final Energy|Other Sector|Electricity represents electricity within the broader context of final energy → other sector → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy use, final, final energy, other, other sector, sector"
Final Energy|Other Sector|Liquids,"Final Energy|Other Sector|Liquids represents liquids within the broader context of final energy → other sector → liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, liquids, other, other sector, sector"
Final Energy|Other Sector|Solids,"Final Energy|Other Sector|Solids represents solids within the broader context of final energy → other sector → solids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, other, other sector, sector, solids"
Final Energy|Other Sector|Solids|Biomass,"Final Energy|Other Sector|Solids|Biomass represents biomass within the broader context of final energy → other sector → solids → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, final, final energy, other, other sector, sector, solids"
Final Energy|Residential and Commercial,"Final Energy|Residential and Commercial represents residential and commercial within the broader context of final energy → residential and commercial in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial"
Final Energy|Residential and Commercial|Commercial,"Final Energy|Residential and Commercial|Commercial represents commercial within the broader context of final energy → residential and commercial → commercial in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial"
Final Energy|Residential and Commercial|Commercial|Electricity,"Final Energy|Residential and Commercial|Commercial|Electricity represents electricity within the broader context of final energy → residential and commercial → commercial → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, electricity, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial"
Final Energy|Residential and Commercial|Commercial|Gases,"Final Energy|Residential and Commercial|Commercial|Gases represents gases within the broader context of final energy → residential and commercial → commercial → gases in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, gases, residential, residential and commercial"
Final Energy|Residential and Commercial|Commercial|Liquids,"Final Energy|Residential and Commercial|Commercial|Liquids represents liquids within the broader context of final energy → residential and commercial → commercial → liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, liquids, residential, residential and commercial"
Final Energy|Residential and Commercial|Commercial|Solids,"Final Energy|Residential and Commercial|Commercial|Solids represents solids within the broader context of final energy → residential and commercial → commercial → solids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial, solids"
Final Energy|Residential and Commercial|Commercial|Solids|Biomass,"Final Energy|Residential and Commercial|Commercial|Solids|Biomass represents biomass within the broader context of final energy → residential and commercial → commercial → solids → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, biomass, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial, solids"
Final Energy|Residential and Commercial|Commercial|Solids|Biomass|Traditional,"Final Energy|Residential and Commercial|Commercial|Solids|Biomass|Traditional represents traditional within the broader context of final energy → residential and commercial → commercial → solids → biomass → traditional in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, biomass, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial, solids, traditional"
Final Energy|Residential and Commercial|Commercial|Solids|Coal,"Final Energy|Residential and Commercial|Commercial|Solids|Coal represents coal within the broader context of final energy → residential and commercial → commercial → solids → coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, coal, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial, solids"
Final Energy|Residential and Commercial|Electricity,"Final Energy|Residential and Commercial|Electricity represents electricity within the broader context of final energy → residential and commercial → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, electricity, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial"
Final Energy|Residential and Commercial|Gases,"Final Energy|Residential and Commercial|Gases represents gases within the broader context of final energy → residential and commercial → gases in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, gases, residential, residential and commercial"
Final Energy|Residential and Commercial|Hydrogen,"Final Energy|Residential and Commercial|Hydrogen represents hydrogen within the broader context of final energy → residential and commercial → hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, hydrogen, residential, residential and commercial"
Final Energy|Residential and Commercial|Liquids,"Final Energy|Residential and Commercial|Liquids represents liquids within the broader context of final energy → residential and commercial → liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, liquids, residential, residential and commercial"
Final Energy|Residential and Commercial|Residential,"Final Energy|Residential and Commercial|Residential represents residential within the broader context of final energy → residential and commercial → residential in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial"
Final Energy|Residential and Commercial|Residential|Electricity,"Final Energy|Residential and Commercial|Residential|Electricity represents electricity within the broader context of final energy → residential and commercial → residential → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, electricity, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial"
Final Energy|Residential and Commercial|Residential|Gases,"Final Energy|Residential and Commercial|Residential|Gases represents gases within the broader context of final energy → residential and commercial → residential → gases in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, gases, residential, residential and commercial"
Final Energy|Residential and Commercial|Residential|Liquids,"Final Energy|Residential and Commercial|Residential|Liquids represents liquids within the broader context of final energy → residential and commercial → residential → liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, liquids, residential, residential and commercial"
Final Energy|Residential and Commercial|Residential|Solids,"Final Energy|Residential and Commercial|Residential|Solids represents solids within the broader context of final energy → residential and commercial → residential → solids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial, solids"
Final Energy|Residential and Commercial|Residential|Solids|Biomass,"Final Energy|Residential and Commercial|Residential|Solids|Biomass represents biomass within the broader context of final energy → residential and commercial → residential → solids → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, biomass, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial, solids"
Final Energy|Residential and Commercial|Residential|Solids|Biomass|Traditional,"Final Energy|Residential and Commercial|Residential|Solids|Biomass|Traditional represents traditional within the broader context of final energy → residential and commercial → residential → solids → biomass → traditional in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, biomass, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial, solids, traditional"
Final Energy|Residential and Commercial|Solids,"Final Energy|Residential and Commercial|Solids represents solids within the broader context of final energy → residential and commercial → solids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial, solids"
Final Energy|Residential and Commercial|Solids|Biomass,"Final Energy|Residential and Commercial|Solids|Biomass represents biomass within the broader context of final energy → residential and commercial → solids → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, biomass, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial, solids"
Final Energy|Residential and Commercial|Solids|Coal,"Final Energy|Residential and Commercial|Solids|Coal represents coal within the broader context of final energy → residential and commercial → solids → coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, coal, commercial, energy, energy demand, energy sector, energy use, final, final energy, residential, residential and commercial, solids"
Final Energy|Solar,"Final Energy|Solar represents solar within the broader context of final energy → solar in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, solar"
Final Energy|Solids,"Final Energy|Solids represents solids within the broader context of final energy → solids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, solids"
Final Energy|Solids|Biomass,"Final Energy|Solids|Biomass represents biomass within the broader context of final energy → solids → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, final, final energy, solids"
Final Energy|Solids|Biomass|Traditional,"Final Energy|Solids|Biomass|Traditional represents traditional within the broader context of final energy → solids → biomass → traditional in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, energy, energy demand, energy sector, energy use, final, final energy, solids, traditional"
Final Energy|Solids|Coal,"Final Energy|Solids|Coal represents coal within the broader context of final energy → solids → coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, energy, energy demand, energy sector, energy use, final, final energy, solids"
Final Energy|Transportation|Freight|Electricity,"Final Energy|Transportation|Freight|Electricity represents electricity within the broader context of final energy → transportation → freight → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy use, final, final energy, freight, mobility, transport, transportation, vehicle demand"
Final Energy|Transportation|Freight|Liquids,"Final Energy|Transportation|Freight|Liquids represents liquids within the broader context of final energy → transportation → freight → liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, freight, liquids, mobility, transport, transportation, vehicle demand"
Final Energy|Transportation|Freight|Liquids|Bioenergy,"Final Energy|Transportation|Freight|Liquids|Bioenergy represents bioenergy within the broader context of final energy → transportation → freight → liquids → bioenergy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bioenergy, energy, energy demand, energy sector, energy use, final, final energy, freight, liquids, mobility, transport, transportation, vehicle demand"
Final Energy|Transportation|Freight|Liquids|Oil,"Final Energy|Transportation|Freight|Liquids|Oil represents oil within the broader context of final energy → transportation → freight → liquids → oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, freight, liquids, mobility, oil, transport, transportation, vehicle demand"
Final Energy|Transportation|Freight|Other,"Final Energy|Transportation|Freight|Other represents other within the broader context of final energy → transportation → freight → other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, freight, mobility, other, transport, transportation, vehicle demand"
Final Energy|Transportation|Gases,"Final Energy|Transportation|Gases represents gases within the broader context of final energy → transportation → gases in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, gases, mobility, transport, transportation, vehicle demand"
Final Energy|Transportation|Hydrogen,"Final Energy|Transportation|Hydrogen represents hydrogen within the broader context of final energy → transportation → hydrogen in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, hydrogen, mobility, transport, transportation, vehicle demand"
Final Energy|Transportation|Liquids,"Final Energy|Transportation|Liquids represents liquids within the broader context of final energy → transportation → liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, liquids, mobility, transport, transportation, vehicle demand"
Final Energy|Transportation|Liquids|Bioenergy,"Final Energy|Transportation|Liquids|Bioenergy represents bioenergy within the broader context of final energy → transportation → liquids → bioenergy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bioenergy, energy, energy demand, energy sector, energy use, final, final energy, liquids, mobility, transport, transportation, vehicle demand"
Final Energy|Transportation|Other,"Final Energy|Transportation|Other represents other within the broader context of final energy → transportation → other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, mobility, other, transport, transportation, vehicle demand"
Final Energy|Transportation|Passenger,"Final Energy|Transportation|Passenger represents passenger within the broader context of final energy → transportation → passenger in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, mobility, passenger, transport, transportation, vehicle demand"
Final Energy|Transportation|Passenger|Electricity,"Final Energy|Transportation|Passenger|Electricity represents electricity within the broader context of final energy → transportation → passenger → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy use, final, final energy, mobility, passenger, transport, transportation, vehicle demand"
Final Energy|Transportation|Passenger|Liquids,"Final Energy|Transportation|Passenger|Liquids represents liquids within the broader context of final energy → transportation → passenger → liquids in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, liquids, mobility, passenger, transport, transportation, vehicle demand"
Final Energy|Transportation|Passenger|Liquids|Bioenergy,"Final Energy|Transportation|Passenger|Liquids|Bioenergy represents bioenergy within the broader context of final energy → transportation → passenger → liquids → bioenergy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bioenergy, energy, energy demand, energy sector, energy use, final, final energy, liquids, mobility, passenger, transport, transportation, vehicle demand"
Final Energy|Transportation|Passenger|Liquids|Oil,"Final Energy|Transportation|Passenger|Liquids|Oil represents oil within the broader context of final energy → transportation → passenger → liquids → oil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, liquids, mobility, oil, passenger, transport, transportation, vehicle demand"
Final Energy|Transportation|Passenger|Other,"Final Energy|Transportation|Passenger|Other represents other within the broader context of final energy → transportation → passenger → other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, mobility, other, passenger, transport, transportation, vehicle demand"
Food Demand,"Food Demand represents food demand within the broader context of food demand in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demand, food, food demand"
Food Demand|Crops,"Food Demand|Crops represents crops within the broader context of food demand → crops in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: crops, demand, food, food demand"
Food Demand|Livestock,"Food Demand|Livestock represents livestock within the broader context of food demand → livestock in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demand, food, food demand, livestock"
Food Energy Supply,"Food Energy Supply represents food energy supply within the broader context of food energy supply in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, food, food energy supply, supply"
Food Energy Supply|Livestock,"Food Energy Supply|Livestock represents livestock within the broader context of food energy supply → livestock in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, food, food energy supply, livestock, supply"
Forestry Demand|Roundwood,"Forestry Demand|Roundwood represents roundwood within the broader context of forestry demand → roundwood in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demand, forestry, forestry demand, roundwood"
Forestry Demand|Roundwood|Industrial Roundwood,"Forestry Demand|Roundwood|Industrial Roundwood represents industrial roundwood within the broader context of forestry demand → roundwood → industrial roundwood in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demand, forestry, forestry demand, industrial, industrial roundwood, roundwood"
Forestry Demand|Roundwood|Wood Fuel,"Forestry Demand|Roundwood|Wood Fuel represents wood fuel within the broader context of forestry demand → roundwood → wood fuel in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: demand, forestry, forestry demand, fuel, roundwood, wood, wood fuel"
Forestry Production|Roundwood,"Forestry Production|Roundwood represents roundwood within the broader context of forestry production → roundwood in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: forestry, forestry production, production, roundwood"
Forestry Production|Roundwood|Industrial Roundwood,"Forestry Production|Roundwood|Industrial Roundwood represents industrial roundwood within the broader context of forestry production → roundwood → industrial roundwood in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: forestry, forestry production, industrial, industrial roundwood, production, roundwood"
Forestry Production|Roundwood|Wood Fuel,"Forestry Production|Roundwood|Wood Fuel represents wood fuel within the broader context of forestry production → roundwood → wood fuel in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: forestry, forestry production, fuel, production, roundwood, wood, wood fuel"
GDP|MER,"GDP|MER represents mer within the broader context of gdp → mer in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: gdp, mer"
GDP|PPP,"GDP|PPP represents ppp within the broader context of gdp → ppp in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: gdp, ppp"
Investment|Energy Supply,"Investment|Energy Supply represents energy supply within the broader context of investment → energy supply in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy supply, energy use, investment, supply"
Investment|Energy Supply|CO2 Transport and Storage,"Investment|Energy Supply|CO2 Transport and Storage represents co2 transport and storage within the broader context of investment → energy supply → co2 transport and storage in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, co2, co2 transport and storage, energy, energy demand, energy sector, energy supply, energy use, investment, mobility, storage, supply, transport, vehicle demand"
Investment|Energy Supply|Electricity,"Investment|Energy Supply|Electricity represents electricity within the broader context of investment → energy supply → electricity in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, investment, supply"
Investment|Energy Supply|Electricity|Biomass,"Investment|Energy Supply|Electricity|Biomass represents biomass within the broader context of investment → energy supply → electricity → biomass in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, supply"
Investment|Energy Supply|Electricity|Biomass|w/ CCS,"Investment|Energy Supply|Electricity|Biomass|w/ CCS represents w/ ccs within the broader context of investment → energy supply → electricity → biomass → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, supply, w, w/ ccs"
Investment|Energy Supply|Electricity|Biomass|w/o CCS,"Investment|Energy Supply|Electricity|Biomass|w/o CCS represents w/o ccs within the broader context of investment → energy supply → electricity → biomass → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, o, supply, w, w/o ccs"
Investment|Energy Supply|Electricity|Coal,"Investment|Energy Supply|Electricity|Coal represents coal within the broader context of investment → energy supply → electricity → coal in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: coal, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, supply"
Investment|Energy Supply|Electricity|Coal|w/ CCS,"Investment|Energy Supply|Electricity|Coal|w/ CCS represents w/ ccs within the broader context of investment → energy supply → electricity → coal → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, supply, w, w/ ccs"
Investment|Energy Supply|Electricity|Coal|w/o CCS,"Investment|Energy Supply|Electricity|Coal|w/o CCS represents w/o ccs within the broader context of investment → energy supply → electricity → coal → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, electricity, energy, energy demand, energy sector, energy supply, energy use, investment, o, supply, w, w/o ccs"
Investment|Energy Supply|Electricity|Electricity Storage,"Investment|Energy Supply|Electricity|Electricity Storage represents electricity storage within the broader context of investment → energy supply → electricity → electricity storage in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, electricity storage, energy, energy demand, energy sector, energy supply, energy use, investment, storage, supply"
Investment|Energy Supply|Electricity|Fossil,"Investment|Energy Supply|Electricity|Fossil represents fossil within the broader context of investment → energy supply → electricity → fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, fossil, investment, supply"
Investment|Energy Supply|Electricity|Gas,"Investment|Energy Supply|Electricity|Gas represents gas within the broader context of investment → energy supply → electricity → gas in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, gas, investment, supply"
Investment|Energy Supply|Electricity|Gas|w/ CCS,"Investment|Energy Supply|Electricity|Gas|w/ CCS represents w/ ccs within the broader context of investment → energy supply → electricity → gas → w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, electricity, energy, energy demand, energy sector, energy supply, energy use, gas, investment, supply, w, w/ ccs"
Investment|Energy Supply|Electricity|Gas|w/o CCS,"Investment|Energy Supply|Electricity|Gas|w/o CCS represents w/o ccs within the broader context of investment → energy supply → electricity → gas → w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, electricity, energy, energy demand, energy sector, energy supply, energy use, gas, investment, o, supply, w, w/o ccs"
Investment|Energy Supply|Electricity|Hydro,"Investment|Energy Supply|Electricity|Hydro represents hydro within the broader context of investment → energy supply → electricity → hydro in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, hydro, investment, supply"
